sdate,isalive,islock,vendor,gci,cellname,isp,nettype,gnodebid,cellid,tac,share,shareBandwidth,Bandwidth,nref,pci,arfcnDL,band
2022-08-10 23:24:48,1,0,爱立信,2350468+1025,CZ_QX_MCZwangshengwutunxi2100MTTERR-2-share,联通,SA,2350468,1025,2350081,1,20,20,428910,28,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344692+1026,CZ_CX_DCCXliuchangcun2100MTTERR-3-share,联通,SA,2344692,1026,2344194,1,20,20,428910,269,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344692+1025,CZ_CX_DCCXliuchangcun2100MTTERR-2-share,联通,SA,2344692,1025,2344194,1,20,20,428910,268,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344692+1024,CZ_CX_DCCXliuchangcun2100MTTERR-1-share,联通,SA,2344692,1024,2344194,1,20,20,428910,267,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301855+1025,BDGB_SongJiaZhuang_TieTa2100MERR-share_2,联通,SA,2301855,1025,2301698,1,20,20,428910,373,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301855+1024,BDGB_SongJiaZhuang_TieTa2100MERR-share_1,联通,SA,2301855,1024,2301698,1,20,20,428910,372,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350310+1025,CZ_QX_MMDZdongpaozhuangcun2100MTTERR-2-share,联通,SA,2350310,1025,2350082,1,20,20,428910,505,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350310+1026,CZ_QX_MMDZdongpaozhuangcun2100MTTERR-3-share,联通,SA,2350310,1026,2350082,1,20,20,428910,506,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350310+1024,CZ_QX_MMDZdongpaozhuangcun2100MTTERR-1-share,联通,SA,2350310,1024,2350082,1,20,20,428910,504,427980,n1
2022-08-10 23:24:48,1,1,爱立信,2344617+1027,CZ_CX_DCCXdachucun2100MTTERR-4-share,联通,SA,2344617,1027,2344194,0,0,20,423370,38,424000,n1
